object_id,timestamp,cycle_time,idle_time,conveyor,error
1,5.41,4.3,1.11,1,0
2,10.64,3.8,1.43,2,0
3,13.84,2.56,0.64,1,1
4,18.37,3.96,0.56,2,0
5,22.59,3.71,0.52,1,0
6,27.36,3.56,1.21,2,0
7,32.18,3.79,1.03,1,0
8,36.95,3.84,0.93,2,0
9,41.44,3.94,0.55,1,0
10,46.71,3.86,1.41,2,0
11,52.03,4.41,0.9,1,0
12,57.27,4.32,0.92,2,0
13,61.96,4.02,0.67,1,0
14,67.31,3.96,1.39,2,0
15,71.91,3.87,0.73,1,0
16,77.58,4.4,1.26,2,0
17,82.78,3.98,1.21,1,0
18,87.61,4.33,0.51,2,0
19,93.31,4.45,1.26,1,0
20,98.54,4.34,0.89,2,0
21,102.74,3.63,0.57,1,0
22,107.86,4.31,0.81,2,0
23,113.39,4.27,1.26,1,0
24,117.78,3.66,0.73,2,0
25,122.89,4.07,1.04,1,0
26,127.44,3.81,0.73,2,0
27,132.28,3.56,1.28,1,0
28,136.9,4.06,0.57,2,0
29,142.01,3.81,1.3,1,0
30,147.71,4.25,1.45,2,0
31,152.76,3.9,1.14,1,0
32,157.51,3.61,1.14,2,0
33,162.68,4.23,0.94,1,0
34,167.64,4.35,0.61,2,0
35,173.01,4.44,0.93,1,0
36,178.2,4.47,0.71,2,0
37,183.38,4.37,0.81,1,0
38,188.66,4.34,0.94,2,0
39,194.34,4.49,1.2,1,0
40,199.49,3.82,1.32,2,0
41,205.24,4.46,1.29,1,0
42,211.06,4.33,1.48,2,0
43,216.43,4.1,1.27,1,0
44,221.63,4.1,1.1,2,0
45,224.48,2.25,0.6,1,1
46,229.69,3.79,1.42,2,0
47,234.69,4.18,0.82,1,0
48,240.42,4.3,1.42,2,0
49,245.49,4.08,0.99,1,0
50,249.9,3.56,0.85,2,0
51,254.41,3.52,0.99,1,0
52,258.99,3.85,0.73,2,0
53,263.59,3.66,0.94,1,0
54,268.7,4.46,0.65,2,0
55,273.99,3.99,1.3,1,0
56,278.92,4.09,0.84,2,0
57,284.38,4.37,1.09,1,0
58,289.13,4.13,0.62,2,0
59,293.97,3.97,0.87,1,0
60,299.0,3.67,1.35,2,0
61,304.88,4.43,1.45,1,0
62,310.26,4.11,1.27,2,0
63,315.26,4.08,0.93,1,0
64,320.29,3.74,1.29,2,0
65,324.96,3.88,0.79,1,0
66,330.15,4.49,0.69,2,0
67,335.63,4.49,1.0,1,0
68,340.72,3.61,1.47,2,0
69,345.82,3.75,1.35,1,0
70,350.69,4.3,0.57,2,0
71,356.31,4.25,1.38,1,0
72,360.92,3.52,1.08,2,0
73,365.76,3.82,1.03,1,0
74,370.34,3.81,0.77,2,0
75,375.39,3.66,1.39,1,0
76,379.78,3.55,0.84,2,0
77,384.36,4.05,0.52,1,0
78,388.95,3.76,0.83,2,0
79,394.17,3.8,1.42,1,1
80,398.52,3.76,0.6,2,0
81,403.54,3.74,1.28,1,0
82,408.9,4.48,0.88,2,0
83,413.87,3.73,1.25,1,0
84,418.7,4.24,0.59,2,0
85,424.11,4.18,1.22,1,0
86,428.64,3.89,0.64,2,0
87,433.7,3.82,1.25,1,0
88,438.3,3.57,1.03,2,0
89,443.16,4.02,0.84,1,0
90,447.28,3.6,0.52,2,0
91,452.52,4.1,1.14,1,0
92,457.73,4.38,0.83,2,0
93,462.2,3.2,1.27,1,1
94,465.63,2.54,0.89,2,1
95,470.6,3.6,1.37,1,0
96,476.24,4.49,1.16,2,0
97,481.59,4.34,1.02,1,0
98,486.82,4.37,0.86,2,0
99,491.97,3.66,1.49,1,0
100,497.37,4.29,1.12,2,0
