object_id,timestamp,cycle_time,idle_time,conveyor,error
1,4.39,3.95,0.44,2,0
2,8.5,3.53,0.58,2,0
3,12.45,3.54,0.42,2,0
4,16.68,3.92,0.31,2,0
5,20.64,3.42,0.54,2,0
6,25.38,4.05,0.69,2,0
7,29.27,3.61,0.29,2,0
8,32.98,3.27,0.43,2,0
9,37.32,4.13,0.21,2,0
10,41.7,3.64,0.74,1,1
11,45.23,3.14,0.39,1,1
12,49.37,3.52,0.61,2,0
13,54.9,4.95,0.58,1,0
14,59.45,3.79,0.76,2,0
15,64.14,4.07,0.62,2,0
16,69.88,5.51,0.23,1,0
17,74.0,3.38,0.74,2,0
18,78.58,4.15,0.43,2,0
19,82.28,3.29,0.41,2,0
20,88.38,5.58,0.52,1,0
21,93.2,4.19,0.63,2,0
22,98.87,5.19,0.49,1,0
23,102.42,3.33,0.22,2,0
24,107.65,4.53,0.7,1,0
25,111.75,3.61,0.49,2,0
26,115.83,3.52,0.56,2,0
27,120.24,3.94,0.47,2,0
28,124.8,3.78,0.77,2,0
29,128.6,3.55,0.25,2,0
30,134.91,5.84,0.47,1,0
31,141.11,5.81,0.39,1,0
32,145.0,3.37,0.52,2,0
33,149.42,4.0,0.42,2,0
34,153.89,4.07,0.4,2,0
35,156.88,2.52,0.46,1,1
36,162.27,4.7,0.7,1,0
37,168.48,5.97,0.23,1,0
38,172.05,3.36,0.21,2,0
39,176.8,4.01,0.74,2,0
40,181.46,4.1,0.56,2,0
41,185.04,3.22,0.36,2,0
42,191.06,5.65,0.36,1,0
43,194.9,3.56,0.29,2,0
44,198.68,3.37,0.41,2,0
45,202.8,3.76,0.36,2,0
46,206.81,3.53,0.48,2,0
47,210.83,3.58,0.44,2,0
48,217.26,6.0,0.44,1,0
49,221.56,3.75,0.54,2,0
50,226.0,4.01,0.43,2,0
51,231.24,4.83,0.41,1,0
52,234.96,3.31,0.4,2,0
53,241.2,5.54,0.7,1,0
54,246.7,5.29,0.2,1,0
55,251.27,3.99,0.58,2,0
56,255.52,3.72,0.54,2,0
57,260.76,4.78,0.46,1,0
58,264.55,3.32,0.47,2,0
59,269.33,4.01,0.77,2,0
60,273.28,3.4,0.54,2,0
61,278.54,4.75,0.51,1,0
62,282.64,3.72,0.38,1,1
63,288.82,5.81,0.37,1,0
64,292.62,3.15,0.64,2,1
65,296.44,3.21,0.61,2,0
66,301.02,3.89,0.7,2,0
67,307.42,5.67,0.73,1,0
68,313.66,5.72,0.52,1,0
69,318.75,4.74,0.35,1,0
70,323.55,4.03,0.77,2,0
71,328.94,5.16,0.23,1,0
72,335.02,5.48,0.61,1,0
73,338.5,3.24,0.23,2,0
74,343.03,3.94,0.59,2,0
75,348.16,4.51,0.63,1,0
76,354.56,5.95,0.45,1,0
77,359.99,4.91,0.53,1,0
78,366.32,5.7,0.63,1,0
79,370.79,3.92,0.56,2,0
80,375.05,3.98,0.28,2,0
81,379.57,3.73,0.79,2,0
82,385.72,5.77,0.39,1,0
83,389.6,3.46,0.42,2,0
84,394.58,4.19,0.79,2,0
85,399.51,4.19,0.75,2,0
86,403.85,3.7,0.63,2,0
87,409.39,5.17,0.37,1,0
88,413.54,3.54,0.61,2,0
89,417.36,3.31,0.5,2,0
90,422.75,5.14,0.25,1,0
91,428.08,4.71,0.62,1,0
92,432.44,4.03,0.33,2,0
93,436.84,3.8,0.6,2,0
94,442.59,5.17,0.58,1,0
95,446.78,3.97,0.22,2,0
96,451.0,3.89,0.33,2,0
97,454.72,3.37,0.35,2,0
98,459.38,3.85,0.8,2,0
99,465.65,5.86,0.41,1,0
100,469.85,3.52,0.68,2,0
